Nombre	Vacunas exijidas	Vacunas recomendadas	,,,,
ANTILLAS HOLANDESAS	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de seis meses procedentes de países con riesgo de transmisión de la fiebre amarilla. España no está incluida en estas zonas.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ANTIGUA Y BARBUDA	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla. España no se considera incluida en estas zonas.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ANDORRA	Ningún requisito de vacunación para los viajeros internacionales	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BENIN	Se exige certificado de vacunación contra la fiebre amarilla a todos los viajeros mayores de 1 año de edad. Recomendaciones de vacunación contra la fiebre amarilla: Sí.	Es conveniente tener actualizado el calendario oficial de vacunaciones
Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ARGENTINA	Requisitos del país: ninguno. Recomendaciones de vacunación contra la fiebre amarilla: Sí.
Recomendada la vacunación para los viajeros mayores a 9 meses que Corrientes y Misiones. Generalmente no recomendada (la vacunación contra la fiebre amarilla está generalmente no recomendada en áreas donde el riesgo de exposición es bajo. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado -por ejemplo: viajes largos, exposición intensa al mosquito, incapacidad de evitar las picaduras-. Cuando se considere la vacunación, cualquier viajero debe tener en cuenta el riesgo de infectarse con el virus de la fiebre amarilla, los requisitos de entrada de cada país y los factores de riesgo individuales para desarrollar un efecto adverso grave a la vacuna -por ejemplo: el estado inmunitario, la edad- .), a viajeros que viajan a la provincia de Formosa y áreas designadas de las provincias del  Chaco, Jujuy y Salta. No recomendada en todas las áreas y provincias no especificadas anteriormente.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BIELORRUSIA o BELAR&#xDA;S	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones.
Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BURMA (Ver MYANMAR)	,,,
BURUNDI	Se exige certificado de vacunación contra la Fiebre Amarilla a todos los viajeros mayores de un año.
Recomendaciones de vacunación contra la fiebre amarilla: Sí.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
AUSTRALIA	Se exige certificado de vacunación internacional contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año que lleguen a Australia procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla, excluyendo a las Islas Galápagos de Ecuador, Isla Tobago y la zona limítrofe de Misiones en Argentina. Recomendaciones de vacunación contra la fiebre amarilla: No. El certificado de vacunación frente a la fiebre amarilla es válido para 10 años.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BELICE	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones
Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BOSNIA - HERZEGOVINA	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BAHREIN	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 9 meses procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No. El certificado de vacunación frente a la fiebre amarilla es válido de por vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
CHIPRE	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional  autorizados.	,
BONAIRE	Requerimientos del país: certificado de vacunación frente a la fiebre amarilla para viajeros mayores de 6 meses de edad procedentes de países con riesgo de transmisión de fiebre amarilla. Estos requerimientos son sólo aplicables a viajeros con destino Bonaire, Saba y San Eustaquio. Recomendaciones de vacunación frente a la fiebre amarilla: No.	,,
BARBADOS	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla (exceptuando Guyana, Trinidad y Tobago), y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones.
Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ARMENIA	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BULGARIA	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BOTSWANA	Se exige certificado de vacunación contra la fiebre amarilla a los viajeros mayores de un año procedentes o que han pasado por países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación frente a la fiebre amarilla es válido para 10 años.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BOLIVIA (ESTADO PLURINACIONAL)	Se exige certificado de vacunación contra la Fiebre Amarilla (2014) a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla.
Recomendaciones de vacunación contra la fiebre amarilla: Sí.

Se recomienda a todos los viajeros a partir de 9 meses de edad que viajen a la siguiente zona este de los Andes a altitudes por debajo de los 2.300 m: la totalidad de los departamentos de Beni, Pando, y Santa Cruz,  y las áreas indicadas de Chuquisaca, Cochabamba, La Paz y  Tarija.
No se recomienda a viajeros cuyo itinerario se limite a áreas de altitud superior a 2.300 m y otras áreas no listadas anteriormente, incluyendo las ciudades de la Paz y Sucre.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BRUN&#xC9;I DARUSSALAM	Se exige certificado de vacunación contra la fiebre amarilla a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación frente a la fiebre amarilla es válido de por vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.
Otros requisitos: Vacunación frente a la Poliomielitis para viajeros provenientes de países con Poliomielitis endémica.	,
BERMUDAS	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones.
Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
CHILE	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BURKINA FASSO	Se exige certificado de vacunación contra la fiebre amarilla a todos los viajeros mayores de 9 meses de edad que procedan de países con riesgo de transmisión de la fiebre amarilla y viajeros que hayan transitado por un aeropuerto de un país de riesgo de transmisión de fiebre amarilla.
Recomendaciones de vacunación contra la fiebre amarilla: Sí.

El certificado de vacunación frente a la fiebre amarilla es válido para 10 años.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BRASIL	Requisitos del país: ninguno. Recomendaciones de vacunación contra la fiebre amarilla: Sí. Se recomienda a los viajeros a partir de  9 meses de edad  que se dirijan a las siguientes áreas: los Estados de Acre, Amapá, Amazonas, Distrito Federal (incluyendo a la capital Brasilia), Goiás, Maranhao, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Rondônia, Roraima y  Tocantins,  y áreas indicadas de los siguientes estados: Bahia, Paraná,  Piauí, Río Grande do Sul,  Santa Catarina y  Sâo Paulo.
La vacunación se recomienda igualmente a los viajeros  que visitan las cataratas de Iguazú.
No se recomienda a los viajeros que se dirijan a áreas no mencionadas anteriormente, incluyendo las  ciudades de Fortaleza,  Arrecife,  Río de Janeiro, Salvador y  Sâo Paulo.	En los estados que se encuentren fuera de la zona la "Amazonía", el riesgo de paludismo no existe o es insignificante. El riesgo de paludismo - P. vivax (86%), P. falciparum (13%), infecciones mixtas (1%)- está presente en la mayor parte de las zonas más boscosas situadas por debajo de los 900 metros de altitud en los 9 estados de la región de la "Amazonía Legal" (Acre, Amapá, Amazonas, Maranhao (parte oeste), Mato Grosso (parte norte), Pará (excepto la ciudad de Belém), Rondônia, Roraima y Tocantins parte occidental-). La intensidad de la transmisión varía de un municipio a otro, pero es más alta en zonas de jungla mineras, las madereras, y en  asentamientos agrícolas de menos de 5 años de antigüedad y en algunas zonas periurbanas de Cruceiro do Sul, Manaus y Pôrto Velho. El paludismo también ocurre en la periferia de las grandes ciudades como Boavista, Macapá, Maraba, Rio Branco y Santarém.
Prevención recomendada en las zonas de riesgo :   C .	,
CONGO, REP. DEM. (antes Zaire)	Se exige certificado de vacunación contra la Fiebre Amarilla a todos los viajeros mayores de 9 meses de edad. Recomendaciones de vacunación contra la fiebre amarilla: Sí.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
CHAD	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: Sí. Recomendada para viajeros mayores de 9 meses que viajen a las zonas del sur del desierto del Sáhara. NO recomendada a viajeros cuyo itinerario se limite a áreas incluidas en el desierto del Sahara.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
COREA DEL NORTE	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 1 año procedentes de zonas con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
CABO VERDE	Se exige certificado de vacunación contra la Fiebre Amarilla (2013) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
CAMER&#xDA;N	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a todos los viajeros mayores de 9 meses de edad.
Recomendaciones de vacunación contra la fiebre amarilla: Sí.

El certificado de vacunación frente a la fiebre amarilla es válido de por vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
COSTA DE MARFIL (C&#xF4;te d&apos;Ivoire	Se exige certificado de vacunación contra la Fiebre Amarilla (2013) a todos los viajeros mayores de 9 meses. Recomendaciones de vacunación contra la fiebre amarilla: Sí.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ECUADOR	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla. Se exige que los nativos y residentes en Ecuador dispongan del certificado de vacunación al salir hacia una zona con riesgo de transmisión de la fiebre amarilla.
Recomendaciones de vacunación contra la fiebre amarilla: Sí.
Recomendada para todos los viajeros a partir de 9 meses de edad que viajen a las siguientes provincias del este de los Andes a altitudes por debajo de los 2300m: Morona-Santiago, Napo, Orellana, Pastaza, Sucumbios y Zamora-Chinchipe.
Generalmente no recomendada (La vacunación contra la fiebre amarilla está generalmente no recomendada en áreas donde el riesgo de exposición es bajo. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado (por Ej.: viaje de larga duración, amplia exposición a mosquitos, imposibilidad de evitar la picadura de mosquito). Cuando se considere la vacunación cualquier viajero debe tener en cuenta el riesgo de infectarse con el virus de la fiebre amarilla, los requisitos de entrada de cada país y  los factores de riesgo individual para desarrollar un efecto adverso grave a la vacuna (Ej.: edad, estado inmune).) para viajeros cuyo itinerario se limite a las siguientes provincias del oeste de los Andes y a altitudes por debajo de los 2300m: Esmeraldas, Guayas, Los Rios, Santa Helena, Santo Domingo de los Tsáchilas y áreas indicadas de Azuay, Bolivar, Canar, Carchi, Chimborazo, Cotopaxi, El Oro, Imbabura, Loja, Pichincha y Tungurahua.
No se recomienda a aquellos viajeros cuyo itinerario se limite a todas las áreas por encima de 2300 m de altitud, las ciudades de Guayaquil y Quito, y las islas Galápagos.

El certificado de vacunación frente a la fiebre amarilla es válido de por vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
DINAMARCA	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BUT&#xC1;N	Se exige certificado de vacunación contra la Fiebre Amarilla a todos los viajeros procedentes de países con riesgo de transmisión de la Fiebre Amarilla y a aquellos viajeros que hayan realizado tránsitos en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
CAMBOYA	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizase de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
CROACIA	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
DOMINICA	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
COSTA RICA	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros de más de 9 meses de edad  procedentes de zonas con riesgo de transmisión de la fiebre amarilla (con excepción de Burundi, Chad, Congo, Costa de Marfil, Etiopía, Guínea-Bissau, Guinea Ecuatorial, Kenia, Mali, Mauritania, Níger, República Centroafricana, Ruanda, Senegal, Sudán del Sur, Togo y Uganda en África; Argentina, Guyana, Panamá, Paraguay, Surinam y Trinidad y Tobago en Sudamérica), y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.

El certificado de vacunación frente a la fiebre amarilla es válido de por vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
COREA DEL SUR	Ningún requisito de vacunación para los viajeros internacionales. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
CUBA	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ESLOVENIA	Fiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
GEORGIA	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
EL SALVADOR	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación frente a la fiebre amarilla es válido de por vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ESLOVAQUIA (Rep&#xFA;blica Eslovaca	Fiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ERITREA	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: en general ninguna.
Generalmente no recomendada (La vacunación contra la fiebre amarilla está generalmente no recomendada en áreas donde el riesgo de exposición es bajo. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado (por Ej.: viaje de larga duración, amplia exposición a mosquitos, imposibilidad de evitar la picadura de mosquito). Cuando se considere la vacunación cualquier viajero debe tener en cuenta el riesgo de infectarse con el virus de la fiebre amarilla, los requisitos de entrada de cada país y  los factores de riesgo individual para desarrollar un efecto adverso grave a la vacuna (Ej.: edad, estado inmune)) para los viajeros que se dirijan a los siguientes estados:  Anseba, Debub, Gash Barka, Mae Kel y Semenawi Keih Bahri. No se recomienda para el resto de areas no mencionadas anteriormente, incluyendo las islas de Dahlak Archipielagos.

El certificado de vacunación frente a la fiebre amarilla es válido para 10 años.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
EMIRATOS &#xC1;RABES UNIDOS	Fiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
GROENLANDIA	Fiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
GUAM	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
